affected_vertices_max,affected_vertices_mean,affected_vertices_pct_max,affected_vertices_pct_mean,batch_suffix,batches,change_pct_of_total_edges,coms_file,dataset,display_regime,family,header_edges,header_nodes,hub_incident_edge_pct_mean,initial_edges,intra_community_edge_pct_mean,max_changes,max_node_id,metadata_avr_deg,metadata_dynamic_mode,metadata_hub_avr_deg,metadata_hub_fraction,metadata_k,metadata_max_deg,metadata_n,metadata_nonhub_avr_deg,min_node_id,out_file,planted_hub_endpoint_pct_mean,regime,seed,update_edges_max,update_edges_mean,update_edges_min,updates
4813,4749.111111111111,4.813,4.7491111111111115,10_batches,10,0.09993349253772489,datasets-sbm/dsbm-community-1024-58/dsbm-community-1024-58-mc2900-42/coms.dsbm-community-1024-58-mc2900-42.10_batches.npz,dsbm-community-1024-58-mc2900-42,community-internal,dsbm-community-1024-58,2901930,100000,2.10727969348659,2875830,100.0,2900,100000,58,community,512,0.01,32,1024,100000,53.41414141414142,1,datasets-sbm/dsbm-community-1024-58/dsbm-community-1024-58-mc2900-42/out.dsbm-community-1024-58-mc2900-42.10_batches,1.0598376722910376,community,42,2900,2900,2900,9
4813,4771.5,4.813,4.7715,5_batches,5,0.09993349253772489,datasets-sbm/dsbm-community-1024-58/dsbm-community-1024-58-mc2900-42/coms.dsbm-community-1024-58-mc2900-42.5_batches.npz,dsbm-community-1024-58-mc2900-42,community-internal,dsbm-community-1024-58,2901930,100000,2.1293103448275863,2890330,100.0,2900,100000,58,community,512,0.01,32,1024,100000,53.41414141414142,1,datasets-sbm/dsbm-community-1024-58/dsbm-community-1024-58-mc2900-42/out.dsbm-community-1024-58-mc2900-42.5_batches,1.0902362801567869,community,42,2900,2900,2900,4
14784,14588.75,14.784,14.588750000000001,100_batches,9,0.999334925377249,datasets-sbm/dsbm-community-1024-58/dsbm-community-1024-58-mc29000-42/coms.dsbm-community-1024-58-mc29000-42.100_batches.npz,dsbm-community-1024-58-mc29000-42,community-internal,dsbm-community-1024-58,2901930,100000,2.052593380556512,2682106,100.0,29000,100000,58,community,512,0.01,32,1024,100000,53.41414141414142,1,datasets-sbm/dsbm-community-1024-58/dsbm-community-1024-58-mc29000-42/out.dsbm-community-1024-58-mc29000-42.100_batches,1.037985322884469,community,42,29000,27478,16824,8
14784,14588.75,14.784,14.588750000000001,10_batches,9,0.999334925377249,datasets-sbm/dsbm-community-1024-58/dsbm-community-1024-58-mc29000-42/coms.dsbm-community-1024-58-mc29000-42.10_batches.npz,dsbm-community-1024-58-mc29000-42,community-internal,dsbm-community-1024-58,2901930,100000,2.052593380556512,2682106,100.0,29000,100000,58,community,512,0.01,32,1024,100000,53.41414141414142,1,datasets-sbm/dsbm-community-1024-58/dsbm-community-1024-58-mc29000-42/out.dsbm-community-1024-58-mc29000-42.10_batches,1.037985322884469,community,42,29000,27478,16824,8
14783,14766,14.783,14.766000000000002,5_batches,5,0.999334925377249,datasets-sbm/dsbm-community-1024-58/dsbm-community-1024-58-mc29000-42/coms.dsbm-community-1024-58-mc29000-42.5_batches.npz,dsbm-community-1024-58-mc29000-42,community-internal,dsbm-community-1024-58,2901930,100000,2.043965517241379,2785930,100.0,29000,100000,58,community,512,0.01,32,1024,100000,53.41414141414142,1,datasets-sbm/dsbm-community-1024-58/dsbm-community-1024-58-mc29000-42/out.dsbm-community-1024-58-mc29000-42.5_batches,1.0463210514442547,community,42,29000,29000,29000,4
2223,2194.6767676767677,2.223,2.194676767676768,100_batches,100,0.049966746268862446,datasets-sbm/dsbm-hubs-1024-58/dsbm-hubs-1024-58-mc1450-42/coms.dsbm-hubs-1024-58-mc1450-42.100_batches.npz,dsbm-hubs-1024-58-mc1450-42,hubs,dsbm-hubs-1024-58,2901930,100000,1.791710205503309,2758380,50.41936607453849,1450,100000,58,hubs,512,0.01,32,1024,100000,53.41414141414142,1,datasets-sbm/dsbm-hubs-1024-58/dsbm-hubs-1024-58-mc1450-42/out.dsbm-hubs-1024-58-mc1450-42.100_batches,0.9213238684039533,hubs,42,1450,1450,1450,99
2223,2194.1111111111113,2.223,2.1941111111111113,10_batches,10,0.049966746268862446,datasets-sbm/dsbm-hubs-1024-58/dsbm-hubs-1024-58-mc1450-42/coms.dsbm-hubs-1024-58-mc1450-42.10_batches.npz,dsbm-hubs-1024-58-mc1450-42,hubs,dsbm-hubs-1024-58,2901930,100000,1.8467432950191571,2888880,50.03065134099617,1450,100000,58,hubs,512,0.01,32,1024,100000,53.41414141414142,1,datasets-sbm/dsbm-hubs-1024-58/dsbm-hubs-1024-58-mc1450-42/out.dsbm-hubs-1024-58-mc1450-42.10_batches,0.9870126822086056,hubs,42,1450,1450,1450,9
2213,2193.75,2.213,2.1937499999999996,5_batches,5,0.049966746268862446,datasets-sbm/dsbm-hubs-1024-58/dsbm-hubs-1024-58-mc1450-42/coms.dsbm-hubs-1024-58-mc1450-42.5_batches.npz,dsbm-hubs-1024-58-mc1450-42,hubs,dsbm-hubs-1024-58,2901930,100000,2.2241379310344827,2896130,49.55172413793103,1450,100000,58,hubs,512,0.01,32,1024,100000,53.41414141414142,1,datasets-sbm/dsbm-hubs-1024-58/dsbm-hubs-1024-58-mc1450-42/out.dsbm-hubs-1024-58-mc1450-42.5_batches,1.1617536097206393,hubs,42,1450,1450,1450,4
14429,14059.3,14.429,14.0593,100_batches,21,0.4996674626886245,datasets-sbm/dsbm-hubs-1024-58/dsbm-hubs-1024-58-mc14500-42/coms.dsbm-hubs-1024-58-mc14500-42.100_batches.npz,dsbm-hubs-1024-58-mc14500-42,hubs,dsbm-hubs-1024-58,2901930,100000,1.7789956440811314,2619242,50.49652217297028,14500,100000,58,hubs,512,0.01,32,1024,100000,53.41414141414142,1,datasets-sbm/dsbm-hubs-1024-58/dsbm-hubs-1024-58-mc14500-42/out.dsbm-hubs-1024-58-mc14500-42.100_batches,0.9689182652523678,hubs,42,14500,14134.4,7188,20
14421,14385.666666666666,14.421000000000001,14.385666666666665,10_batches,10,0.4996674626886245,datasets-sbm/dsbm-hubs-1024-58/dsbm-hubs-1024-58-mc14500-42/coms.dsbm-hubs-1024-58-mc14500-42.10_batches.npz,dsbm-hubs-1024-58-mc14500-42,hubs,dsbm-hubs-1024-58,2901930,100000,1.7839080459770116,2771430,50.47816091954023,14500,100000,58,hubs,512,0.01,32,1024,100000,53.41414141414142,1,datasets-sbm/dsbm-hubs-1024-58/dsbm-hubs-1024-58-mc14500-42/out.dsbm-hubs-1024-58-mc14500-42.10_batches,0.9538296582759281,hubs,42,14500,14500,14500,9
